verified_reviews,paraphrased_reviews
"I love my Alexa Dot. I play games with my son, ask how the weather Is and I love that she works with my Amazon Fire Tv.","

I have a great time with my Alexa Dot - playing games with my son, finding out the weather, and integrating it with my Amazon Fire TV."
I like it because you could ask it different questions and it does different things it works intermittently with my smart TV if I ask you to change the volume it does or does it sometimes if I ask you to change the channel it does or doesn't sometimes I have to reset it I don't know if it's because it's refurbished but it's okay it's just not what I expected,"

I enjoy using it because I can ask it various questions and it can do different tasks. However, it doesn't always work with my smart TV. Sometimes it will change the volume when asked, but other times it won't. Similarly, it may or may not change the channel when asked. I have to reset it occasionally, but I'm not sure if that's because it's a refurbished model or not. It's alright, just not what I anticipated."
"So far the certified refurbished Echo Dot works well. It was a little confusing to have a green ring on the Echo Dot and not 100% know why it was there. Asked Alexa and she said it was because of a receiving a call or drop in. But that was not the case. Took about 10 minutes to figure out it was a notification that I had a delivery from amazon. I believe the ring is supposed to be yellow and pulsate for a message notification, but on my refurbished Echo Dot it was Green and pulsed.","

The certified refurbished Echo Dot I bought has been working well so far. Initially, I was confused by the green ring on the Echo Dot and wasn't sure what it meant. I asked Alexa and she said it was because of a call or drop in, but that wasn't the case. After around 10 minutes, I realized it was a notification that I had a delivery from Amazon. I think the ring should be yellow and pulse for message notifications, however, on my refurbished Echo Dot it was green and pulsing."
It arrived quickly and was easy to set up ! it was a refurbished amazon echo dot it was above and beyond what I expected ! Alexa and I have become buddies she is a great assistant,"

The refurbished Amazon Echo Dot arrived quickly and was simple to get going. It far exceeded my expectations! Alexa and I have become close friends; she is an amazing helper."
"Works as advertised. Speak clearly, and research the commands. Also. Get the wall holder, it keeps it out of the way. Set up is a breeze, just make sure you are close to the device initially when connecting your phone. For some reason it made set up easier...though it could be psychological haha","

Make sure you speak clearly and do your research on the commands before you use them. Additionally, purchase the wall holder to keep the device out of the way. Setting up is a breeze, however, it is best to be close to the device at first when pairing your phone. For some reason, this made the set up process simpler, although it may just be in my head!"
Love my two echo dots but the third one we ordered to give as a gift had a defective speaker.  The return process still isn't done and has already taken weeks.,"

I'm fond of my two Echo Dots, but the one we got for a present was faulty and its speaker didn't work. The return process has been dragging on for weeks and still isn't resolved."
I've already returned it.,"

I gave it back already."
"The refurbished echo for has been wonderful. I purchased this for my mother. She loves the ability to contact me without a phone, listen to music, weather, and ask questions. It's been a wonderful gift and works excellently with no problems",".

I gave my mother the newly renovated Echo as a present and she loves it! She can call me without a phone, listen to music, get the weather, and ask questions. It has been a fantastic present and works perfectly with no issues."
"Works good. However, the price went down the week after I purchased it.","

The product worked well; however, the cost decreased the following week after I had bought it."
Works amazingly. I bought it for my daughter and she loves it.,"

I purchased this item for my daughter and it functions incredibly well - she is delighted with it."
"I love Alexa! It's great helping me, making my appointments, playing the songs I like! What else can you do? Looking forward for more.","

I am a big fan of Alexa! It is so helpful for me, from scheduling my appointments to playing my favorite songs. I am excited to find out what else it can do!"
Got this for the bathroom love it we can listen music whe. We showering.,"

We got this for the bathroom and we love it; now we can listen to music while we shower."
I have 3-Dots and 2-Original and this new one works perfectly.  Will buy all my future Dots reconditioned.,"

I have three refurbished Dots and two new ones, and this latest one works great. I'm going to purchase all of my future Dots in a pre-owned condition."
Was a little hard to get it to pare up with the others but once it did no problems at all,"

It was somewhat difficult to make it match the others, however, once it did, there were no issues."
"Now I'm weary about these picking up conversations when you are not actively using them - heard about this happening on the news.  I have 3-4, so this is very concerning.  I wish Amazon would release something widespread  or push some firmware to prevent this.  If they have, I have not heard about it yet.","

I'm feeling anxious about these reports of Echo devices picking up conversations when they're not being used - I have a few of them, so it's really worrying. I hope Amazon will do something to address this issue, like release a software update or something. If they already have, I haven't heard about it yet."
There's really no dislike for Alexa( dot) I thought cortna was cool but Alexa is an awesome application to the family. Unbelievable device which seems alive. A must get.,"

I really have no negative feelings towards Alexa - I thought Cortana was impressive, but Alexa is an amazing addition to any home. It is an incredible device that feels almost alive, and is a must-have."
"I am happy with the refurbished echo dot. I’ve had it for about two weeks, and so far it is working perfectly! Even though it did not come in its original box, it looks like new! I’m happy with this purchase!","

I'm delighted with my recently remodeled Echo Dot. I've had it for a couple of weeks and it's been running flawlessly! Despite the fact that it didn't come in its first box, it appears as though it's brand new! I'm thrilled with this acquisition!"
Thumbs up!,"

That's great!"
Workreat,"

Put in a hard day's labor"
"There was something wrong with the first one that no even the rep I spoke with could fix. The replacement was registered to someone else. When the price of the Dot went down to $39.99 (same price as the refurbished ones), I bought a brand, spanking new one. No problem with the new one.","

The first one had an issue that even the representative I spoke with was unable to repair. It was registered to someone else. When the Dot's price dropped to $39.99, the same as the refurbished ones, I bought a brand new one and it worked perfectly."
Works as expected!,"

It functions as anticipated!"
No problems,"

No issues"
Have these in almost every room. I really have enjoyed them. Works perfectly.,"

I have definitely had a great time with these items in almost every room; they have worked really well."
Purchased for grandson.,"

I bought something for my grandson."
Like new,"

As good as new"
Happy with this as I was with the other 2 I ordered!!,"

I am just as pleased with this one as I was with the other two that I ordered!"
"Love the dots, especially with the ability to talk from one to the other, these are really convenient. No issues with the refurbished as they are like new.","

I'm really pleased with these dots, especially because I'm able to communicate with each other. The refurbished ones are in great condition and I don't have any problems with them."
"Started taking on her own! Haven’t used it since I unplugged it that day. No one was talking, my daughter was laying in bed next to be and she just started going on about the movie Moana and completely scared the sh*t out of my daughter now.","

My daughter was lying in bed beside me and all of a sudden she began talking about the movie Moana which startled my daughter so much that I haven't used it since I unplugged it that day and there was no one talking."
It works great the speaker sounds fine and overall would recommend,"

I have had a positive experience with this product - the sound quality is good and I would definitely recommend it."
Great! Just like new!,"

Fantastic! Just like it was never used!"
"Loved the price for an essentially brand new Dot!! Opening it, you really couldn’t tell that it was refurbished. Everything looked brand new. For $20 less than a new unit, I couldn’t consider this a better deal! I really love the versatility of the echo dot. Get you one while you can!","

I'm delighted with the cost of this practically brand new Echo Dot! When I opened it up, it was hard to tell that it had been refurbished. Everything looked like it was just out of the box. This was a great deal, with a savings of $20 compared to buying a new one. I'm really impressed with the Echo Dot's many uses, so get one while they're still available!"
Pleased with the order just what I wanted!!,"

I am delighted that I got exactly what I wanted!"
"I think I now have 5 of these throughout the house. So convenient to set a timer or check the weather or whatever, wherever.","

I believe I now possess five of these gadgets throughout my home. It is so convenient to set a timer, check the weather, or do other tasks from any location."
Love it -- the best.  My experience with refurbished devices is excellent.,"

I absolutely adore it -- it's the best! My personal experience with refurbished devices has been outstanding."
Love the echo dot,"

I adore the Amazon Echo Dot."
"This refurbished item was fine,but I wasn't aware that there is a fee for having other echos set up in the rooms.  However, it was missing the cordThank you","

I was satisfied with the refurbished item, however I was not aware that there would be a fee for having additional Echos set up in the rooms. Unfortunately, the cord was not included."
"Two weeks after setting it up it no longer works.  No connection, no light, no sound.  I guess I shouldn't have purchased a refurbished Dot.","

Two weeks after I got the Dot going, it stopped working. No internet connection, no lights, and no sound. I should have known better than to buy a refurbished Dot."
It worked like a brandnew unit! Great addition to my collection.,"

It operated as if it was completely new! It's a fantastic addition to my possessions."
"Great price, works perfectly. Saved the money on a refurb!! Would buy again!","

I got a fantastic deal and the product works perfectly. I saved a lot of money by not buying a refurbished item and I would definitely purchase it again!"
 ,"

The meeting was rescheduled

The gathering was rearranged for a different time."
Very.god,"

Very good"
Not good at all!,"

Terrible!"
These are great. I bought one and then bought another right away. Grab a few of these and a few smart switched and you're set with smart home capabilities for under $150. Highly recommended.,"

I got one of these and immediately purchased another. If you pick up a few of these and a few smart switches, you can have a smart home setup for less than $150. I highly suggest doing this."
Just like new,"

In the same way as something fresh."
"Worked as it should, still need to figure out how to link to other devices though, only set up Sonos which was pretty easy. Not the products fault, just have not had time to figure it out.","

The product performed as expected, but I haven't had the time to figure out how to connect it to other devices. I was able to set up the Sonos system relatively easily, though, so it's not the product's fault."
Very useful,"

Extremely helpful"
"This is the worst Amazon purchase I have made. I am big Amazon fan...love the brand...unlimited digital music...prime videos...even buy my online games, music, and movies through Amazon. This app I have tried to use it make simple purchases -- to do anything. It is useless.","

I am an avid Amazon fan and love the brand for their unlimited digital music, prime videos, and even their online games, music, and movies. However, I recently made a purchase through Amazon that has been a complete disappointment. I have tried to use the app to make simple purchases but it has been completely useless."
"Works very well, but the microphone don&#34;t pick up as well as the full size echo.  Audio quality is okay for the size.","

The performance of this device is great, but the microphone does not capture sound as efficiently as a larger Echo model. The sound quality is satisfactory for its size."
I bought two refurbished ones for work and home. They both work perfectly and appear brand new,".

I purchased two reconditioned items for both the office and my house. They both operate flawlessly and look like they just came out of the box."
Amazon doesn't disappoint.,"

Amazon never fails to meet expectations."
Works great as a BT receiver with output connected to vintage stereo equipment.,"

This works excellently as a Bluetooth transmitter when hooked up to classic stereo systems."
"Working great this far.  Can't tell it's not new.  Will edit for longevity in a year, that's the real test.","

So far, the performance has been outstanding. It's hard to believe it isn't brand new. I will check back in a year to see how it has held up over time, that will be the true test."
Amazing,"

Incredible"
i love everything," about you

I am enamored with you in every way."
"This used “dot” works fine, it compliments my Echo.","

This pre-owned ""dot"" functions properly, and it goes well with my Echo."
Works like a new one.  Can tell the difference from the new one I bough and the refurbished one.,"

It performs just as well as a brand new item. I can easily distinguish between the new item I purchased and the refurbished one."
Well I’m a big fan of echoes these ones went I’m my bathrooms.  Works just great as expected 👍🏾,"

I am a big enthusiast of echoes in my bathrooms, and they are performing as expected."
Purchased for my 83 year old mother-she loves talking to Alexa! Very responsive-can detect its “name” from all over the room.,"

I bought an Alexa for my 83 year old mother and she loves it! It is very responsive and can detect its name even when my mother is in another room."
This is just like new -- same performance as our brand new one; no problems.,"

This is practically brand new; it has the same quality as a brand new one and no issues."
The echo dot disconnects from the speaker about 12-20 times a day. Do not buy the refurbished product.  2 stars for effort.,"

The Echo Dot is prone to disconnecting from the speaker multiple times throughout the day, so it is not recommended to purchase the refurbished version.  2 stars for effort."
Love it.  Great product,".

I'm really enjoying this product."
it works good.  very satisfied,"

I am very satisfied with how it functions."
"I love Alexa, but the sound on the dot is not the best. I own an echo 2nd gen for the kitchen/living room and got this for my bedroom, but there’s a SIGNIFICANT difference in sound. The dot lacks a full base sound and sounds as if it’s coming off a cheap portable speaker. I was REALLY disappointed. I returned it right away and just shelled out the money to buy a second echo 2 for my bedroom also.","

I'm a huge fan of Alexa, but the sound quality of the dot isn't great. I have an Echo 2nd gen for the kitchen/living room, and got the dot for my bedroom, but the difference in sound was huge. The dot doesn't have the same depth of sound and it sounds like a cheap portable speaker. I was so let down that I returned it immediately and bought a second Echo 2 for my bedroom."
"Took me awhile to get it connected. I'm not electronically savy but now that it is, I love it.","

It took me a while to get it set up, as I'm not very knowledgeable when it comes to electronic devices, but now that it's connected, I'm really enjoying it."
cant seem to get this thing to sink with my wireless not sure If I will be returning it will try one more time.,"

I'm having difficulty connecting this device to my wireless network; I'm not sure if I'm going to keep it or not, but I'll give it one more try."
Absolutely love it!,"

I am totally enamored with it!"
product stopped working after return time ran out,"

The product ceased functioning once the return period had expired."
Second Dot work great for refurbishedThought it was new,"

Secondhand items work great if you think they are new."
Love these guys they work so great,"

I really appreciate these people; they do an amazing job."
"I love this as a second &#34;Alexa&#34; in our bedroom.  Great for checking weather, for meditation music, and as a timer - Perfect for my husband who has to use eye drops multiple times each day and keep his eyes closed for 5 minutes.","

I'm really pleased to have a second Alexa in our bedroom. It's great for quickly checking the weather, playing meditation music, and setting a timer - which is especially useful for my husband who has to put in eye drops multiple times a day and keep his eyes closed for five minutes."
I purchased this refurbished.  Works just like brand new.  3 minute set up. Very easy.  Now I have echo dot that I can command to start playing music for my backyard deck sound system.,"

I bought this item that had been refurbished, and it works just like it was brand new. It only took me three minutes to set up, which was surprisingly easy. Now I'm able to use my Echo Dot to command my backyard deck sound system to start playing music."
Not substitute for the original.  The echo dot performs well but sound quality is poor.  To listen it has to be at the highest level 10.,"

The performance of the Echo Dot is satisfactory, however, its audio quality is not ideal. To hear it clearly, the volume needs to be turned up to the maximum level of 10."
Love the Echo Dot. Helps husband get Netflix and other apps on our Amazon Fire TV.  No problems with it being refurbished. Planning on getting another one for the Amazon Fire Stick in bedroom.,"

I'm a big fan of the Echo Dot. It makes it easy for my husband to access Netflix and other apps on our Amazon Fire TV. We got a refurbished one and had no issues with it. We're thinking of getting another one for the Amazon Fire Stick in the bedroom."
"Stopped working after 7 months. The warranty was only good for 3 months. I would have assumed an amazon product sold on amazon would have had higher standards than guaranteeing that it would work for 3 whole months. I mean what is this product supposed to be, a piece of junk?They offered my a 15% discount if I wanted to buy another one. Why would I want to buy another one?","

I was really disappointed when the product stopped working after only 7 months, as the warranty was only valid for 3 months. I expected Amazon to have higher standards than this, as it implies that the product is of poor quality. The fact that they offered me a 15% discount for a replacement was of no interest to me, as why would I want to buy another one?"
"Just like new. No problems whatsoever, Alexa. Thank you.","

Everything is in perfect condition with no issues, Alexa. Much appreciated."
I like my uncle. But sometime it goes a little Haywire,"

I have fond feelings for my uncle. However, occasionally things can get a bit out of control."
Bought this for my son and it didn’t work. He had to return it.,"

I got this item for my son, but it didn't function properly, so he had to take it back."
Bought 2 and both quit connecting to wifi and responding to voice within 9 months. Hard and soft reset will not fix the problem.,"

I purchased two of the same product, but within nine months, neither of them would connect to wifi or respond to voice commands anymore. Even after performing a hard and soft reset, the issue was not resolved."
"I received my Echo Dot today in good condition, but be advised: I paid $29.99 for it and Amazon has (as of this writing) raised the price to $39.99, so do your research before buying so you can get a good deal!Set up with the Dot went simple enough — plug it in, follow the app instructions... except initially it took a while to actually show up in my iPhone’s WiFi settings. I called Amazon customer service, and I dunno what it is, but lately I’ve been getting terrible support. The guy that took my call just rambled off a (completely unhelpful) script and I ended up setting up the Dot while he was in the middle of his spiel.I’m not sure if this is the norm or if it’s because this is refurbished, but the Dot has a pretty finicky wifi range and randomly disconnects even though the app shows that the range of my 5GHz connection is strong. Reconnecting is a pain each time as well.All that said, when Alexa works, she works amazingly well. I don’t have a speaker hooked up to it, but one thing I really enjoy is the mic’s range and sensitivity. One of the more annoying limitations of Apple’s Siri is that when she’s playing audio through device speakers (music, podcasts, etc), the “Hey Siri” feature is all but useless. Alexa has no problem hearing me over whatever is playing at the time, and with amazingly fast responsiveness too. I haven’t tried this with louder speakers yet, so I’m not sure if this will continue to hold true.Setting up Alexa to control all my wireless devices was a breeze, albeit with limitations — support for Arlo devices is nil, and if you have special settings for your LED devices (eg. rainbow effects), Alexa can’t handle them, she only knows how to change solid colors and brightness levels.All in all, my rating would’ve been lower had I not gotten a decent price on this item. If the connectivity problems persist, I may have to exchange/return this item. I don’t want to though — Alexa’s kind of growing on me.","I recently got my Echo Dot and it was in good condition. However, I paid $29.99 for it and Amazon has since increased the price to $39.99, so do your research before buying to ensure you get a good deal. Setting up the Dot was quite simple - just plug it in and follow the app instructions. Initially, it took a while for it to show up in my iPhone's WiFi settings. When I called Amazon customer service, the person I spoke to was not very helpful and just read out a script. The Dot's WiFi range is quite finicky and it tends to disconnect randomly even though the app shows that the range of my 5GHz connection is strong. Reconnecting is also a bit of a hassle. On the plus side, Alexa is very responsive and I like the mic's range and sensitivity. Alexa can also hear me over whatever audio is playing, which is a huge improvement over Siri. Setting up Alexa to control my wireless devices was fairly easy, but it does have its limitations. For example, it does not support Arlo devices and it can only change solid colors and brightness levels for LED devices. Overall, I'm happy with my purchase, but if the connectivity problems persist, I may have to exchange or return the item."
I bought it because everyone was saying how much they love theirs. But I have no need for it. I only used it once. The volume was not loud enough for me when I played music while I was on my treadmill. So I rather use my tower speaker which is 3xs louder.,"

I purchased the item based on the positive feedback from others, but I found I had no real use for it. After trying it out once, I realized that the volume was not sufficient for me when I was running on my treadmill with music playing. Therefore, I decided to go with my tower speaker which is much louder."
Worked like new.  Will do it again.,"

Functioned as if it was brand new. I would definitely do it again."
The second one which was a refurbished model did work-at least not in my home.,"

The second one, which was a pre-owned model, did work, though not in my house."
"Very bad this device, I don’t know if it’s because is refurbished or what but it activated by itself , nobody is talking and he just activated and start talking. When you talk you have to yell super lauded","

This device is really terrible; I'm not sure if it's because it's a refurbished model or something else, but it just started talking on its own without anyone speaking. You have to shout really loudly in order to be heard."
Good as new!! Just like brand new! Save yourself some money. Get one!,"

You can get a great deal on a product that is just as good as if it were brand new! Save yourself some money and get one!"
Adding more rooms for convenience,"

Increasing the number of rooms for ease of use."
"Nice. It works good.Some times is not easy to recognize your voice and you have to repeat several times, some time almost screaming.","

It's nice that it works well, but sometimes it's difficult to make out your voice and you may have to repeat yourself multiple times, even to the point of shouting."
"I took a chance on a certified refurbished unit for $29. Looks brand new...no excuses or disappointments. 5 minute trouble-free set up! Effortless bluetooth speaker connectivity through the Alexa App on my iPhone was flawless. Listening to my favorite tunes through a Bose Bluetooth setup and couldn't be happier. Walk through the door and just ask Alexa to: &#34;Play 80's music&#34; and viola... instant atmosphere! No more opening the iPad, going to settings, turning on bluetooth and then accessing the Pandora app. It just makes things so effortless. A true joy right out of the box! If I didn't discover any other uses for this fine piece of technology it was worth every penny!","

I decided to take a gamble on a certified pre-owned device for only $29, and it looks like it's never been used. It was easy to set up in a matter of minutes, and connecting to my Bose Bluetooth speakers with the Alexa app on my iPhone went without a hitch. Listening to my favorite tunes with the Bose system was great. Now, all I have to do is tell Alexa to ""Play 80's music"" and I'm set! No more messing around with the iPad, turning on Bluetooth, and going through the Pandora app. It's so much simpler now. Even if this was the only use I got out of it, it was worth every penny!"
Alexa's sister (my second dot),"

Alexa's sibling"
"Love my Alexa Echo Dot - I have two of them now - one new, one refurbished.  Both work great and it has become my go to for sooo many things.  I love it as an alarm every morning or whenever.  I love it to play music or sounds of the ocean, or nature sounds when I am trying to sleep.  Just love it for so many things.","

I am obsessed with my Alexa Echo Dot! I now have two of them - one brand new and one pre-owned. Both of them are functioning perfectly and I use them for so many things. Every morning, I rely on it to wake me up, and at night, it helps me drift off to sleep by playing music or natural sounds like the ocean. I just can't get enough of it!"
"Bought a refurb, and its works just as my new ones I bought prior! Came in original packaging as well!","

I got a refurbished item and it works just as well as the new ones I had previously purchased! It even came in the original packaging!"
Love it. It's like having a second wife.,"

I'm really fond of it; it's like having a partner in life."
So far not impressed at all. Does not save groups correctly can not understand me most of the time I'm not sure what the excitement is all about. Alexas voice sounds like it's under water how am I supposed to understand!!!!I'm going to return and try a google home!!!,"

I'm not impressed at all so far. It doesn't save groups properly and it rarely understands me. I don't understand what the hype is about. Alexa's voice sounds like it's coming from underwater, so how am I supposed to understand it?! I'm going to return it and get a Google Home instead."
Works well and has no obvious issues from being refurbished.,"

This refurbished item functions properly with no apparent problems."
"Works great, can't tell it was refurbished and set up in kids mode.  I have 3 in my home and will be adding more. I love these things.","

These refurbished items work amazingly, and it's almost impossible to tell they were pre-owned. I have three of them in my house already, and I'm planning on adding more. I'm really fond of them."
"great product, but useless overall. Too many unnecessary features. Unless you have a smart home you don't need it","

This item is not worth the purchase unless you have a smart home. It has too many features that are not necessary, making it ineffective overall."
Worked just as good as the two new Echo Dots i preciously purchases.,"

The performance was just as good as the two Echo Dots I previously bought."
I bought this for my mother and she is in love with it.She loves the guard dog feature.She says that it gives her a sense of security at night and when she leaves the house,"

I got this for my mom and she loves it. She especially appreciates the guard dog feature, as it provides her with a sense of safety when she's away or when she's home at night."
I bought it mainly to be a speaker when playing music or videos on my phone. Not working for me. Read instructions but not working for me.,"

I purchased this primarily to act as a speaker for when I play music or videos on my phone, but it is not functioning for me. I read the instructions, but it still does not work."
It works,"

It is effective."
"Bought two of them and both work great. I'm not much on electronics running my home, but Alexa does all that I want and need to be done.","

I purchased two of them and they both functioned perfectly. I'm not particularly knowledgeable when it comes to running electronics in my house, but Alexa does everything I need it to do."
2nd one... more to come,"

More is yet to come."
Blue light blinks all the time,"

The blue light flashes continuously."
Fun and useful. We're still learning new tricks and useful functionalities. This is the future of human to computer interface and household automation. Just like Star Trek! Who knew it would be here so soon?,"

We are continually discovering more entertaining and practical features. This is the beginning of the human-computer interface and home automation, like something out of Star Trek! Who would have thought it would arrive so quickly?"
"Works great to control the TV lights and various other devices. Lately I've been using it when i wake up and don't know what time it is but don't want to open my eyes. Just shout out &#34;Alexa, What time is it?&#34; if i could just figure out how to get it to do house hold chores and walk the dogs it'd be golden! sound is not that great but with its size what can you expect. The Echo Plus has much better audio but that is what you get with the larger more expensive Echo.","

I've been using the Echo to control my TV lights and other gadgets, which works great. It's also been helpful when I wake up and don't want to open my eyes to check the time--I just ask Alexa what time it is. The sound quality isn't the best, but that's to be expected for such a small device. The Echo Plus has much better audio, but you have to pay more for that larger device. If only I could figure out how to get it to do chores and walk the dogs, it would be perfect!"
Works great!,"

It functions excellently!"
Wasn't sure if I'd like this product but after having it for a little while I want one in every room! My daughter is constantly asking alexa how to spell words. We've barely tapped into all the things this product is capable of and I'm looking forward to learning all of its capabilities!,"

I wasn't sure if I would enjoy this product, but after using it for a short time I have been wanting one in every room! My daughter is constantly asking Alexa how to spell words and we have only scratched the surface of what this product can do. I am eager to discover all of its features!"
A++++,"

Excellent work!"
Great product. Works well,"

This product is excellent. It performs well."
Absolutly love it !,"

I am completely enamored with it!"
Bought my first echo dot and loved it so I got this for work. Absolutely love it!,"

I purchased my first Echo Dot and was so pleased with it that I bought another one for work. I absolutely adore it!"
works as promised,"

performs as expected"
Works great with my existing smart home setup.,"

It functions perfectly with my existing smart home system."
Perfect. Could not tell the difference from a new one.,"

It was flawless; I couldn't tell it apart from a brand-new one."
I cant figure out how to use it.,"

I am unable to understand how to operate it."
Good sometimes can’t hear well,"

At times, it can be difficult to hear clearly."
"I was a little apprehensive about buying a refurbished electronic product, but with Amazon's guarantee, thought I would try it. Glad I did, and will probably buy another refurb product form Amazon. I love the Alexa products and have several. This one sits on my desk. Has a small footprint, but has great sound and I use it daily. Works great.","

I was a bit skeptical about buying a pre-owned electronic item, but Amazon's assurance persuaded me to take a chance. I'm glad I did, and I'm likely to purchase another refurbished item from Amazon. I'm a huge fan of Alexa products and I have several of them. This one is placed on my desk and it has a compact size but produces excellent sound. I use it every day and it works perfectly."
Not bad bad speaker for sound,"

The speaker is not terrible for sound quality."
"This is a great device. We mainly use it to verbally add things to the shopping list, but occasionally use any number of the &#34;fun&#34; things you can program it to do, like go to Red Alert or make the TARDIS land (yes, we're a house of geeks... we even chose the wake-word to be &#34;Computer&#34; instead of &#34;Alexa&#34;. Now we just need Majel Barret's voice and I will be in geek heaven.) ;)It's not as easy to get my Premium Spotify to work properly with it, and still not sure how we can get multiple music accounts attached so we can listen to different music in different rooms, but so far it's still been worth it. I am often asking it the time, the weather, it even gives us a news briefing. We also use it as an intercom system which has been really awesome. Plus it's fun knowing the NSA is listening to everything.","

This device is amazing! We mostly use it to make grocery lists, but we also take advantage of its ""fun"" capabilities, like activating Red Alert and making the TARDIS land (we're all big geeks in this house, so we even made the wake-word ""Computer"" instead of ""Alexa""! I would be in heaven if Majel Barret's voice was the one giving us the commands). Unfortunately, getting my Premium Spotify to work with it has been a bit of a hassle and I haven't figured out how to get multiple music accounts so different people in different rooms can listen to different music. Still, it's been worth it. I often ask it for the time and the weather, and it even gives us a news briefing. We also use it as an intercom system, which has been really useful. Plus, it's funny to think that the NSA is listening to everything we say."
We all love her!,"

Everyone adores her!"
I purchased this for my daughter and we all love this!!!! its amazing!! we love the games!,"

I bought this for my daughter and we have all been so impressed with it! It's incredible! We're all really enjoying the games."
It doesn’t always  work,"

It is not always successful."
Good as new! Perfectly packaged and I have had zero issues with the dot.,"

The item was in perfect condition, wrapped up nicely, and I haven't had any problems with it."
Love it! Bought for my granddaughter who is 3 for her to play music and ask questions. She is entertained for hours! Good buy in my honest opinion!,"

I highly recommend this purchase! I got it for my 3-year-old granddaughter to listen to music and ask questions. She loves it and can stay entertained for hours!"
No issues...works and looks great!!!,"

Everything is functioning properly and appears to be in excellent condition."
This is a fun toy.  My daughter have me it.  It reads to me!,"

My daughter gave me this fun toy that reads to me!"
"Refurbish Echo Dot received as new condition, as new packaging, no complaints. Neat little gadget.(Drives my wife nuts!)","

I got a refurbished Echo Dot that was in perfect condition, in its original packaging, and I had no issues with it. It's such a neat little device - it drives my wife crazy!"
"I received an Echo as a gift, loved it so much I decided to get the Dot for my bedroom. Both very easy to set up but a big difference in the sound quality. I would still buy it again.","

I was gifted an Echo and enjoyed it so much that I chose to purchase a Dot for my bedroom. Both were simple to install, but there was a noticeable difference in sound quality. Despite this, I would still make the same purchase again."
Worked as advertised. Thanks,"

The product performed as expected. Appreciated."
All the new Amazon products I have are great everything I bought refurbished is complete garbage. I will never purchase Amazon refurbished again total dissatisfaction,"

I am extremely pleased with all the new Amazon products I have, however, the refurbished items I bought were horrible and I am completely dissatisfied. I will never purchase any Amazon refurbished products again."
Works good.  Microphone is not as good as the better Echo products,"

The microphone works well, but it is not as good as some of the higher-end Echo products."
Took a little work to set up but I finally got it.  Sound quality not the best but for what I got it for it works great.  I check weather and ask a few cooking questions in the kitchen with it.  I do play the radio on it when I want some music but will probably upgrade to the Echo plus for better sound.,"

It took me a while to get it running, and the audio quality isn't the greatest, but for what I paid it's great. I use it to check the weather and ask questions while I'm cooking. I can also play the radio on it, but I'm thinking about upgrading to an Echo Plus for better sound."
Love Alexa these are the best thing I have ever bought don't know how I ever lived with out these things amazing so happy with this product just wish it would use google to,"

I'm so delighted with this purchase of Alexa - I can't believe I ever lived without it! It's the best thing I have ever bought. It's amazing! I only wish it would incorporate Google into its functions."
I loved it it works great,"

I was delighted with it; it functions wonderfully."
Extremely low in volume,"

Very quiet"
"I had some trouble getting the program downloaded from my phone. I ended up using my computer. It is interesting that the answers come from Wikipedia. However, I will give Echo dot an &#34;A&#34; in the music playing department. I heard songs and music totally forgotten on the mainstream stations. Also amusing when Alexa responds, I don't know that. Why does she think the yards of cotton fabric refer to football playing???? If I had paid full price for this gadget I would have been sorely disappointed. Now it seems reasonable and a step above HAL.","

I had some difficulty downloading the program onto my phone, so I resorted to using my computer. It is fascinating that the answers come from Wikipedia. I would give Echo dot an ""A"" in terms of its music playing capabilities, as I heard songs that I had not heard on mainstream radio stations. It is also amusing when Alexa responds with ""I don't know that,"" such as when I asked her why she thought yards of cotton fabric were related to football playing. If I had paid full price for this device, I would have been very dissatisfied. However, now it appears to be a good value and much better than HAL."
"Brought to replace one that I moved and doesn't have the same range as my previous (non refurbished) unit. It would seldom be able to find the Wi-Fi and couldn't connect. Got tired of hearing the message (&#34;trouble connecting...check the Alexa app...&#34;) and just unplugged it. I went through the troubleshooting and reconnected it several times, it's just not as strong.","

I replaced my old (non refurbished) Wi-Fi unit with a new one, but it doesn't have the same range. It often has difficulty finding the Wi-Fi and connecting, and I got tired of hearing the message “trouble connecting...check the Alexa app...” so I unplugged it. I tried troubleshooting and reconnecting it multiple times, but it just isn't as strong."
"If you want to listen to music and have it come through several of the Echo/Dot units simultaneously, YOU MUST PAY A MONTHLY FEE. I thought this was Amazon, not Apple??!! I’ve paid for many of these so I could have one in each room, is that not enough of my money??!!??","

If you want to have music playing through multiple Echo/Dot devices at the same time, you have to pay a monthly fee? That doesn't make sense to me! I've already bought multiple of these devices so I could have one in each room, why do I have to pay more money?"
"Purchased as a gift,"," the necklace was a hit

The necklace, bought as a present, was very well-received."
Love it," or leave it

Take it or leave it"
"Overall good device. It was bought for a workout room, and has issues reaching a volume that can be heard over a standard row machine. It could use a much better speaker.","

This device is generally satisfactory, however it has difficulty reaching a loud enough volume to be heard over a row machine when used in a workout room. It would be beneficial to install a higher quality speaker."
